GEOID,median_household_income,share_bach_plus,share_mgmt_prof,vot_personal
36005000200,121171.0,0.24492949584701565,0.2696542399072822,27.022087907992365
36005000400,98242.0,0.2612251195803117,0.3112174047214936,24.331459141786777
36005001600,42957.0,0.1172849775411745,0.16985526534686407,16.089276985874157
36005001901,67361.0,0.221990837151187,0.30903790087463556,20.147623165930902
36005001902,76429.0,0.09297625063163213,0.2405255179383527,21.46093529316786
36005002001,23208.0,0.025116279069767444,0.13279069767441862,11.826014696245295
36005002002,18029.0,0.07237733803198698,0.21116833830306317,10.423303315980375
36005002300,18750.0,0.03269273249392534,0.10315882482880495,10.629680047651279
36005002500,27207.0,0.08608058608058608,0.2141025641025641,12.8044192245964
36005002701,18788.0,0.05618374558303887,0.13780918727915195,10.640446004775567
36005002702,31379.0,0.06380915438324282,0.15205585725368503,13.751152741960134
36005002800,66235.0,0.32214022140221404,0.20129151291512914,19.978520646506183
36005003100,43480.0,0.14577811435062477,0.1904581597879591,16.186923870603117
36005003300,37957.0,0.1256237158790725,0.17053125917229234,15.123959175782323
36005003500,34508.0,0.10427883253046188,0.1700198356474922,14.42047118761539
36005003800,42614.0,0.031275720164609055,0.1094650205761317,16.024913990522595
36005003900,28508.0,0.08966277970375039,0.22360542073747242,13.106988896764435
36005004001,76050.0,0.19811320754716982,0.2358490566037736,21.407658376034668
36005004100,21819.0,0.06552933673469388,0.1611926020408163,11.466661115696855
36005004200,52974.0,0.13603309929789367,0.15922768304914744,17.866971311291746
36005004300,29704.0,0.09363221583019242,0.10216226939099385,13.379103843392208
36005004400,21016.0,0.04371963913948647,0.09599814943326394,11.253680637114945
36005004600,21346.0,0.1289237668161435,0.15134529147982062,11.341690950007742
36005004800,45118.0,0.08383667552548925,0.27542884754771685,16.48900601451141
36005005001,35164.0,0.0626495540569937,0.1553186860996302,14.556893080779531
36005005002,36066.0,0.03660460713158725,0.21426317450299778,14.742412053063056
36005005100,25468.0,0.05047829286239882,0.07108167770419425,12.388450134347593
36005005200,35147.0,0.05036373810856184,0.10464465584778959,14.553373897821896
36005005300,22352.0,0.034377719756309835,0.17123585726718887,11.605871315515708
36005005400,58452.0,0.0638899359215982,0.24538258575197888,18.768053997298065
36005005600,47628.0,0.1442117740023706,0.2568154879494271,16.9414558737103
36005005902,46902.0,0.2457293035479632,0.23653088042049936,16.811839593857286
36005006000,53371.0,0.12704918032786885,0.17704918032786884,17.93379605228775
36005006100,75608.0,0.305606258148631,0.1877444589308996,21.345357432085336
36005006200,27243.0,0.07831131163390267,0.1795037060908798,12.812887756755362
36005006301,58118.0,0.17456758488148622,0.27962844330557335,18.71435600195642
36005006400,40778.0,0.07642318689888225,0.16844294255263842,15.675901186718656
36005006500,24184.0,0.08394442300270166,0.13527595522964106,12.072122217156677
36005006800,33996.0,0.05837466615795498,0.12170927127050744,14.313092130369132
36005006900,32199.0,0.10576333537706928,0.2208767627222563,13.92966745289418
36005007000,43672.0,0.09473934777433944,0.20209473934777433,16.222623801202907
36005007100,34853.0,0.2392661982825917,0.1760343481654957,14.492377550784745
36005007200,64464.0,0.11133867063861479,0.2396201824613666,19.709616836486223
