GEOID,median_household_income,share_bach_plus,share_mgmt_prof,vot_personal,vot_business,biz_share_pi,vot_mixed
36081084601,104659.0,0.21283659166359278,0.3094798967170786,25.113534898118544,45.316602078727875,0.21564562341255844,29.470237915126845
36081084602,83000.0,0.07619738751814223,0.20029027576197386,22.36446959142251,40.355998201281956,0.1567204728785293,25.18411046296727
36081084901,67219.0,0.10536713862364175,0.33849193282844914,20.126375917225534,36.317426934434906,0.2313022268535036,23.871402072604745
36081084902,45658.0,0.09429997373259785,0.2077751510375624,16.587387804189003,29.931431624318705,0.1607597524225423,18.73257298502861
36081085300,33756.0,0.15133829744415375,0.20627892936204467,14.262479906352793,25.736206758390793,0.15995230308174452,16.09772894126713
36081085500,40199.0,0.1362526452873189,0.18297248901188345,15.564213561633581,28.08514514194216,0.14737477516258185,17.40948303810763
36081085700,57813.0,0.2139222101054162,0.20828789531079608,18.665185461402142,33.68075365381504,0.16103645943206824,21.083239399469097
36081085900,57706.0,0.2574326687653026,0.24886323889471842,18.64790474780211,33.64957113709543,0.18293330464261842,21.392209155541632
36081086100,43750.0,0.14823756639304683,0.2491549975857074,16.237104477174597,29.299356123616732,0.18309075481632314,18.628681990722445
36081086300,56774.0,0.1383583612771541,0.3402828400641493,18.496702147933934,33.37673069152324,0.2322687058790101,21.952867121196157
36081086400,124141.0,0.127734375,0.32421875,27.351249814534476,49.35448988879685,0.2235995767352117,32.27116498194279
36081086500,62688.0,0.2975446428571429,0.2546875,19.436218093202985,35.07205834695287,0.18607641897323157,22.34567925525827
36081086900,86165.0,0.2652838427947598,0.45360262008733626,22.786887208080607,41.11823781122925,0.29342273350490394,28.16572221089325
36081087100,47662.0,0.3516056453262426,0.22888116179177745,16.947501757833212,30.581246188715795,0.17214979893050042,19.29454812027948
36081088400,98921.0,0.19379760609358,0.2132752992383025,24.415397847416227,44.056835221873975,0.16372795634021448,27.6312502483205
36081088902,47661.0,0.25502697400686614,0.28788621873467385,16.947323968497336,30.58092537332201,0.2039924029455717,19.728475079869643
36081088903,57807.0,0.21528224940974458,0.23395578450311225,18.66421687286142,33.67900586555441,0.17488836423142542,21.29012875907351
36081089201,165529.0,0.27607430617726053,0.2403760071620412,31.583234301630483,56.99097586271869,0.17835309451741954,36.11478363374941
36081090700,107917.0,0.13527508090614887,0.2809061488673139,25.501427303051177,46.0165420049471,0.20022554613194343,29.60907734819775
36081091603,134844.0,0.3878243997089498,0.2187727382973563,28.505940212111593,51.43809323191086,0.16669469824546926,32.32860853986596
36081091900,104375.0,0.12915057915057915,0.2523166023166023,25.07943802658383,45.255075321712724,0.18479694294178317,28.807834120625877
36081092200,160357.0,0.4852240228789323,0.2449952335557674,31.085905171680213,56.09356072878609,0.18084590114336246,35.60843717638784
36081092500,69250.0,0.12711650240080868,0.23426838514025777,20.428169153589753,36.8620035564776,0.1750570619468283,23.305027920680008
36081092800,159600.0,0.40988372093023256,0.23372093023255813,31.012444493399563,55.961003192000334,0.1747616230345524,35.37249510393983
36081092900,105682.0,0.21983611189601582,0.24851653009324667,25.235973823517966,45.53753935752125,0.18274620015283732,28.946007782010874
36081093401,117143.0,0.2993767976989454,0.25047938638542666,26.569154085249945,47.94322217617728,0.18380547301670164,30.497824780994033
36081093402,102324.0,0.3387884709330728,0.2540302882266732,24.831806248276607,44.80823138655499,0.18572174879178693,28.54186285956588
36081093800,77802.0,0.21373745325723284,0.18893918519976383,21.65284350597458,39.07189079569715,0.15059475585292814,24.27606067976096
36081093900,94050.0,0.1952560477536915,0.2469368520263902,23.80668668974802,42.95843464127715,0.1818937128278461,27.290269231794746
