origin_vert,dest_vert,hour,origin_coord,dest_coord,tnc_time_min,tnc_cost,tnc_buffer_time,tnc_buffer_cost,tnc_buffer_distance_mi,flight_time_min,uam_total_cost,uam_total_time,tnc_avg_time,utility_uam,utility_tnc,Puam,Ptnc
LAX,ANH,8,"(33.94417072663332, -118.40248449470265)","(33.78570585270341, -117.87310430944889)",41.38333333333333,77,10.15,8.025600653298815,3.210240261319526,15,95.02560065329881,37.65,52,-11.385060065329881,-10.3,0.2525496411798688,0.7474503588201312
LAX,WDHL,11,"(33.94417072663332, -118.40248449470265)","(34.195564972957264, -118.56461240990397)",39.7,78,10.083333333333334,7.19286646521609,2.877146586086436,15,67.19286646521608,37.583333333333336,48,-8.598453313188276,-10.200000000000001,0.8322344449517267,0.16776555504827323
LAX,LGB,11,"(33.94417072663332, -118.40248449470265)","(33.77146945981807, -118.1005412837366)",29.966666666666665,62,11.533333333333333,10.58419841777074,4.233679367108296,15,61.584198417770736,39.03333333333333,34,-8.110086508443741,-7.9,0.44767070010880416,0.5523292998911958
LAX,LGB,12,"(33.94417072663332, -118.40248449470265)","(33.801028786504816, -118.1276505321645)",24.533333333333335,62,6.1,4.259731116349053,1.7038924465396212,15,55.25973111634905,33.6,34,-7.205973111634906,-7.9,0.6668621286191936,0.3331378713808065
LAX,ANH,7,"(33.94417072663332, -118.40248449470265)","(33.80182572415404, -117.88331700068619)",43.8,77,12.333333333333334,5.432762382913285,2.173104953165314,15,92.43276238291328,39.833333333333336,52,-11.234942904957995,-10.3,0.28192298313090497,0.7180770168690951
LAX,HWD,14,"(33.94417072663332, -118.40248449470265)","(34.06020243182826, -118.33746032956003)",29.716666666666665,57,10.683333333333334,5.628887006522424,2.2515548026089696,10,38.628887006522426,33.18333333333334,45,-5.5220553673189094,-7.95,0.9189335506345391,0.08106644936546102
LAX,DTLA,10,"(33.94417072663332, -118.40248449470265)","(34.00423886219792, -118.26249105256433)",21.466666666666665,50,11.65,6.734381190181599,2.69375247607264,10,36.7343811901816,34.15,35,-5.38093811901816,-6.75,0.7972285440435763,0.20277145595642365
LAX,DTLA,8,"(33.94417072663332, -118.40248449470265)","(34.024292116489015, -118.20528792774194)",29.25,50,11.366666666666667,9.463828283434022,3.785531313373609,10,39.463828283434026,33.86666666666667,35,-5.639716161676736,-6.75,0.752182023889823,0.24781797611017703
LAX,UVS,8,"(33.94417072663332, -118.40248449470265)","(34.13811295954259, -118.38300436044716)",37.083333333333336,57,9.933333333333334,3.996888132218834,1.5987552528875335,10,45.996888132218835,32.43333333333334,45,-6.221355479888551,-7.95,0.8492389573903911,0.15076104260960893
LAX,DTLA,4,"(33.94417072663332, -118.40248449470265)","(34.09837904801702, -118.27970884338738)",38.21666666666667,50,17.283333333333335,9.687763738457031,3.875105495382812,10,39.68776373845703,39.78333333333333,35,-5.95794304051237,-6.75,0.688272828938246,0.3117271710617539
LAX,BVH,3,"(33.94417072663332, -118.40248449470265)","(34.07720800916306, -118.38658306778503)",33.45,45,6.533333333333333,3.999580413101894,1.5998321652407577,10,29.499580413101896,29.03333333333333,29,-4.401624707976856,-5.95,0.8246789496420092,0.17532105035799087
LAX,BVH,8,"(33.94417072663332, -118.40248449470265)","(34.11730505792231, -118.46216824732667)",29.683333333333334,45,19.633333333333333,11.358872788350055,4.5435491153400225,10,36.858872788350055,42.13333333333333,29,-5.792553945501673,-5.95,0.5392804027865599,0.4607195972134402
LAX,DTLA,7,"(33.94417072663332, -118.40248449470265)","(34.047924905175854, -118.23986629916485)",31.166666666666668,50,11.916666666666666,4.015691068275958,1.6062764273103831,10,34.015691068275956,34.416666666666664,35,-5.122402440160929,-6.75,0.8358402627068132,0.16415973729318684
LAX,DTLA,15,"(33.94417072663332, -118.40248449470265)","(34.06931710286196, -118.21169629691717)",30.5,50,12.616666666666667,9.15874846432118,3.663499385728472,10,39.15874846432118,35.11666666666667,35,-5.671708179765451,-6.75,0.7461705900874425,0.25382940991255754
LAX,ANH,9,"(33.94417072663332, -118.40248449470265)","(33.78964960094346, -117.92098504110183)",42.266666666666666,77,8.416666666666666,3.899016388632013,1.5596065554528051,15,90.899016388632,35.916666666666664,52,-10.885734972196534,-10.3,0.3576140469795106,0.6423859530204893
LAX,ANH,8,"(33.94417072663332, -118.40248449470265)","(33.83681659932064, -117.9556427461899)",36.666666666666664,77,10.45,6.765282741051437,2.706113096420575,15,93.76528274105144,37.95,52,-11.274028274105145,-10.3,0.2740783102813534,0.7259216897186466
LAX,UVS,8,"(33.94417072663332, -118.40248449470265)","(34.1667415992138, -118.32416210847207)",40.333333333333336,57,11.966666666666667,6.591948260506949,2.6367793042027796,10,48.591948260506946,34.46666666666667,45,-6.582528159384029,-7.95,0.7969713842810728,0.2030286157189271
LAX,BVH,7,"(33.94417072663332, -118.40248449470265)","(34.05133239871334, -118.44429778912675)",20.15,45,8.683333333333334,5.403354716328883,2.1613418865315532,10,30.903354716328884,31.183333333333334,29,-4.649502138299556,-5.95,0.7859187604277,0.21408123957229994
LAX,ANH,4,"(33.94417072663332, -118.40248449470265)","(33.82056442284083, -117.8815025323055)",41.36666666666667,77,10.316666666666666,5.578350156606074,2.23134006264243,15,92.57835015660608,37.81666666666666,52,-11.148668348993942,-10.3,0.29971227630202957,0.7002877236979704
LAX,BVH,14,"(33.94417072663332, -118.40248449470265)","(34.05190875396373, -118.42617432629851)",24.35,45,6.716666666666667,3.3071726845457103,1.3228690738182842,10,28.807172684545712,29.21666666666667,29,-4.341550601787905,-5.95,0.8331959944487581,0.16680400555124184
LAX,LGB,14,"(33.94417072663332, -118.40248449470265)","(33.792271955921706, -118.17597530236402)",25.533333333333335,62,9.4,5.423273357355098,2.1693093429420394,15,56.4232733573551,36.9,34,-7.48732733573551,-7.9,0.601728560125046,0.3982714398749539
LAX,WDHL,1,"(33.94417072663332, -118.40248449470265)","(34.1839906840433, -118.66390888009764)",43.333333333333336,78,8.416666666666666,8.687574704451457,3.475029881780583,15,68.68757470445146,35.916666666666664,48,-8.66459080377848,-10.200000000000001,0.8227963661370543,0.17720363386294566
LAX,PSD,8,"(33.94417072663332, -118.40248449470265)","(34.08408726371031, -118.54466563017188)",40.86666666666667,57,1.4666666666666666,1.0977131330235599,0.439085253209424,10,40.09771313302356,23.966666666666665,47,-5.2081046466356895,-8.05,0.9448982281176468,0.055101771882353295
LAX,WDHL,7,"(33.94417072663332, -118.40248449470265)","(34.17364048684784, -118.56744059622993)",35.516666666666666,78,5.15,5.437065426199995,2.174826170479998,15,65.4370654262,32.65,48,-8.17620654262,-10.200000000000001,0.8832726913424785,0.11672730865752143
LAX,ANH,9,"(33.94417072663332, -118.40248449470265)","(33.851870959165794, -117.96162484918814)",34.9,77,11.0,9.181147868212504,3.6724591472850014,15,96.1811478682125,38.5,52,-11.543114786821253,-10.3,0.2238942773999118,0.7761057226000881
LAX,HWD,13,"(33.94417072663332, -118.40248449470265)","(34.08001527112134, -118.33656249907814)",34.71666666666667,57,6.316666666666666,2.4220911441547193,0.9688364576618878,10,35.42209114415472,28.816666666666666,45,-4.983042447748806,-7.95,0.9510588576936042,0.048941142306395805
LAX,LGB,12,"(33.94417072663332, -118.40248449470265)","(33.86964677635753, -118.10432633571622)",28.916666666666668,62,18.566666666666666,11.439717984452873,4.575887193781149,15,62.43971798445287,46.06666666666666,34,-8.54730513177862,-7.9,0.3435970764171517,0.6564029235828482
LAX,ANH,7,"(33.94417072663332, -118.40248449470265)","(33.86035683193269, -117.92702191083471)",38.65,77,14.816666666666666,8.375162627827304,3.350065051130922,15,95.37516262782731,42.31666666666666,52,-11.653349596116064,-10.3,0.20532329333062216,0.7946767066693778
LAX,WDHL,3,"(33.94417072663332, -118.40248449470265)","(34.15436273827931, -118.5691428681825)",38.916666666666664,78,7.583333333333333,5.921752828580456,2.3687011314321826,15,65.92175282858045,35.083333333333336,48,-8.346341949524712,-10.200000000000001,0.8645560282071911,0.13544397179280893
LAX,HWD,19,"(33.94417072663332, -118.40248449470265)","(34.04469191886903, -118.35365787468017)",24.216666666666665,57,17.7,8.948424246060133,3.579369698424053,10,41.948424246060135,40.2,45,-6.204842424606014,-7.95,0.8513409891847358,0.14865901081526425
LAX,ANH,10,"(33.94417072663332, -118.40248449470265)","(33.76558818648626, -117.92014748332365)",37.06666666666667,77,14.083333333333334,8.03594178312826,3.214376713251304,15,95.03594178312827,41.583333333333336,52,-11.582760844979495,-10.3,0.21708063316590268,0.7829193668340974
LAX,DTLA,17,"(33.94417072663332, -118.40248449470265)","(34.06048440764718, -118.33049761714724)",30.883333333333333,50,17.416666666666668,9.550611816614122,3.8202447266456487,10,39.55061181661412,39.91666666666667,35,-5.950894514994745,-6.75,0.6897831031875001,0.3102168968124998
LAX,UVS,10,"(33.94417072663332, -118.40248449470265)","(34.12389430548277, -118.337480920827)",38.233333333333334,57,11.716666666666667,3.557730175732888,1.4230920702931553,10,45.557730175732885,34.21666666666667,45,-6.266606350906622,-7.95,0.8433533834313041,0.156646616568696
LAX,LGB,11,"(33.94417072663332, -118.40248449470265)","(33.8259513753831, -118.08977825165161)",30.266666666666666,62,14.466666666666667,8.999683959789373,3.599873583915749,15,59.99968395978937,41.96666666666667,34,-8.098301729312272,-7.9,0.4505863883045631,0.5494136116954369
LAX,UVS,7,"(33.94417072663332, -118.40248449470265)","(34.191903343070884, -118.29832984590594)",44.2,57,19.85,12.28995610419734,4.915982441678937,10,54.289956104197344,42.35,45,-7.5464956104197345,-7.95,0.599529335420014,0.4004706645799861
LAX,ANH,11,"(33.94417072663332, -118.40248449470265)","(33.797985278958954, -117.98331228657243)",38.93333333333333,77,15.316666666666666,9.573264676699251,3.8293058706797005,15,96.57326467669925,42.81666666666666,52,-11.798159801003258,-10.3,0.18270014336806348,0.8172998566319366
LAX,PSD,3,"(33.94417072663332, -118.40248449470265)","(34.06708756656959, -118.50235433912836)",29.916666666666668,57,26.033333333333335,7.810459393599201,3.1241837574396802,10,46.8104593935992,48.53333333333333,47,-7.107712606026587,-8.05,0.7195614686939942,0.2804385313060058
LAX,LGB,8,"(33.94417072663332, -118.40248449470265)","(33.81554695486367, -118.1242944841032)",27.333333333333332,62,6.733333333333333,3.8721875631335516,1.5488750252534207,15,54.87218756313355,34.233333333333334,34,-7.198885422980022,-7.9,0.6684348419009406,0.33156515809905934
LAX,LGB,13,"(33.94417072663332, -118.40248449470265)","(33.82395076117747, -118.14061703639553)",28.183333333333334,62,6.483333333333333,2.0483180246221497,0.8193272098488599,15,53.04831802462215,33.983333333333334,34,-7.003998469128882,-7.9,0.7101271234294336,0.2898728765705664
LAX,UVS,16,"(33.94417072663332, -118.40248449470265)","(34.170479852858485, -118.37741163216931)",39.13333333333333,57,11.2,6.379747499637702,2.551898999855081,10,48.3797474996377,33.7,45,-6.522974749963771,-7.95,0.8064373920685416,0.1935626079314584
LAX,ANH,7,"(33.94417072663332, -118.40248449470265)","(33.83306767857313, -117.88549979478267)",41.983333333333334,77,12.283333333333333,6.007279653159491,2.4029118612637967,15,93.00727965315949,39.78333333333333,52,-11.289894631982616,-10.3,0.2709328903093882,0.7290671096906118
LAX,WDHL,14,"(33.94417072663332, -118.40248449470265)","(34.11929173747886, -118.54101858411741)",45.5,78,21.116666666666667,12.819113439630225,5.12764537585209,15,72.81911343963023,48.61666666666667,48,-9.712744677296357,-10.200000000000001,0.6194596437025066,0.38054035629749333
LAX,DTLA,11,"(33.94417072663332, -118.40248449470265)","(34.095300440622026, -118.20421088286224)",31.383333333333333,50,10.683333333333334,12.751011749346056,5.100404699738422,10,42.751011749346056,33.18333333333334,35,-5.934267841601272,-6.75,0.6933296455472349,0.30667035445276514
LAX,PSD,11,"(33.94417072663332, -118.40248449470265)","(34.04073724969593, -118.53629434797344)",35.43333333333333,57,15.616666666666667,8.412278717866243,3.364911487146497,10,47.41227871786624,38.11666666666667,47,-6.647061205119958,-8.05,0.8026498168169471,0.19735018318305292
LAX,ANH,13,"(33.94417072663332, -118.40248449470265)","(33.76781808280818, -117.9687957659478)",35.13333333333333,77,12.916666666666666,10.482814697572069,4.193125879028828,15,97.48281469757207,40.416666666666664,52,-11.769114803090542,-10.3,0.1870771968234311,0.8129228031765688
LAX,ANH,8,"(33.94417072663332, -118.40248449470265)","(33.8359940071988, -117.95404147378706)",38.2,77,9.716666666666667,6.497112076999092,2.598844830799637,15,93.49711207699909,37.21666666666667,52,-11.210544541033244,-10.3,0.28688842023501404,0.713111579764986
LAX,HWD,4,"(33.94417072663332, -118.40248449470265)","(34.035091531216715, -118.3316428158658)",22.033333333333335,57,20.833333333333332,9.782516342531244,3.9130065370124973,10,42.782516342531245,43.33333333333333,45,-6.444918300919792,-7.95,0.8183311707862646,0.18166882921373537
