origin_vert,dest_vert,hour,Puam,Ptnc
LAX,ANH,0,0.22872765066739165,0.7712723493326082
LAX,ANH,2,0.2349881980529275,0.7650118019470726
LAX,ANH,3,0.3024950574701036,0.6975049425298964
LAX,ANH,4,0.26726166223336406,0.7327383377666359
LAX,ANH,5,0.2286748123420115,0.7713251876579884
LAX,ANH,6,0.28002417997605916,0.7199758200239409
LAX,ANH,7,0.23898497989339998,0.7610150201066
LAX,ANH,8,0.2655742252617614,0.7344257747382387
LAX,ANH,9,0.2550450532540926,0.7449549467459073
LAX,ANH,10,0.2581037220846274,0.7418962779153726
LAX,ANH,11,0.2797955554850546,0.7202044445149454
LAX,ANH,12,0.24389524925015826,0.7561047507498417
LAX,ANH,13,0.25662871115043523,0.7433712888495648
LAX,ANH,14,0.2190969938668834,0.7809030061331166
LAX,ANH,15,0.2323191430036548,0.7676808569963453
LAX,ANH,16,0.25518024435261666,0.7448197556473835
LAX,ANH,17,0.25729108796714073,0.7427089120328594
LAX,ANH,18,0.2670300269925213,0.7329699730074787
LAX,ANH,20,0.1679720047126182,0.8320279952873819
LAX,ANH,21,0.20163809189431192,0.7983619081056881
LAX,ANH,23,0.23141728237894688,0.7685827176210531
LAX,BVH,0,0.6344672579839816,0.3655327420160185
LAX,BVH,1,0.7601827089080736,0.23981729109192643
LAX,BVH,2,0.6705075434828258,0.3294924565171742
LAX,BVH,3,0.6931180425120312,0.3068819574879687
LAX,BVH,4,0.7338633565975755,0.2661366434024245
LAX,BVH,5,0.7046503361871029,0.29534966381289707
LAX,BVH,6,0.6799200590246365,0.3200799409753635
LAX,BVH,7,0.7160193584159357,0.28398064158406444
LAX,BVH,8,0.6866155884715218,0.31338441152847824
LAX,BVH,9,0.7036853100712871,0.29631468992871285
LAX,BVH,10,0.6882727163379426,0.3117272836620573
LAX,BVH,11,0.7177474924722744,0.2822525075277256
LAX,BVH,12,0.6772488759181164,0.3227511240818836
LAX,BVH,13,0.7002790130566154,0.29972098694338456
LAX,BVH,14,0.6776085743164673,0.32239142568353274
LAX,BVH,15,0.6406958131093259,0.3593041868906741
LAX,BVH,16,0.688179401897987,0.3118205981020131
LAX,BVH,17,0.7058478925247029,0.294152107475297
LAX,BVH,18,0.7267442433810035,0.27325575661899654
LAX,BVH,19,0.8036681510106616,0.1963318489893384
LAX,BVH,20,0.6737297502114248,0.3262702497885752
LAX,BVH,21,0.709201062297973,0.2907989377020272
LAX,BVH,22,0.7171230495091229,0.2828769504908771
LAX,DTLA,0,0.7842963845982678,0.21570361540173222
LAX,DTLA,2,0.7753452274577155,0.22465477254228455
LAX,DTLA,3,0.7618825456712264,0.23811745432877363
LAX,DTLA,4,0.7736201490090567,0.22637985099094327
LAX,DTLA,5,0.7702807001561531,0.22971929984384692
LAX,DTLA,6,0.7868613278002919,0.21313867219970806
LAX,DTLA,7,0.7805736461354142,0.21942635386458584
LAX,DTLA,8,0.7703299451693683,0.2296700548306317
LAX,DTLA,9,0.7806471788539295,0.21935282114607044
LAX,DTLA,10,0.8076329938398347,0.19236700616016528
LAX,DTLA,11,0.7409294795072333,0.25907052049276674
LAX,DTLA,12,0.7366107610332182,0.26338923896678174
LAX,DTLA,13,0.755071832509983,0.24492816749001692
LAX,DTLA,14,0.7870091755577472,0.21299082444225279
LAX,DTLA,15,0.7776898311258267,0.22231016887417332
LAX,DTLA,16,0.7754177249574898,0.22458227504251008
LAX,DTLA,17,0.775362319523271,0.22463768047672905
LAX,DTLA,18,0.7357817375202598,0.26421826247974023
LAX,DTLA,20,0.8193134370347461,0.18068656296525396
LAX,DTLA,21,0.6642023744442808,0.33579762555571935
LAX,DTLA,22,0.7573585353366564,0.2426414646633436
LAX,HWD,0,0.8244787929006792,0.17552120709932084
LAX,HWD,1,0.8229071112914292,0.1770928887085707
LAX,HWD,2,0.8326892569521114,0.16731074304788862
LAX,HWD,3,0.8855797191803595,0.11442028081964058
LAX,HWD,4,0.8513776631986127,0.14862233680138717
LAX,HWD,5,0.8477393667659521,0.1522606332340479
LAX,HWD,6,0.8657011385672779,0.13429886143272204
LAX,HWD,7,0.8762483886944061,0.12375161130559394
LAX,HWD,8,0.8818201562713058,0.11817984372869417
LAX,HWD,9,0.8672315519764384,0.1327684480235616
LAX,HWD,10,0.8769245914917579,0.12307540850824208
LAX,HWD,11,0.8842083561201761,0.11579164387982392
LAX,HWD,12,0.8978019508517612,0.10219804914823889
LAX,HWD,13,0.8745136124668599,0.1254863875331401
LAX,HWD,14,0.8740042167486427,0.12599578325135724
LAX,HWD,15,0.8621219466533965,0.13787805334660358
LAX,HWD,16,0.8794247997392873,0.12057520026071264
LAX,HWD,17,0.8990959218433594,0.1009040781566406
LAX,HWD,18,0.8715250666015684,0.12847493339843163
LAX,HWD,19,0.8513409891847358,0.14865901081526425
LAX,HWD,20,0.8745763459869382,0.12542365401306188
LAX,HWD,21,0.8825467406809079,0.11745325931909215
LAX,HWD,22,0.907999772420577,0.09200022757942306
LAX,LGB,0,0.6325911406226408,0.36740885937735923
LAX,LGB,3,0.5198079345349098,0.48019206546509025
LAX,LGB,4,0.633584141205632,0.366415858794368
LAX,LGB,5,0.4990399358766248,0.5009600641233752
LAX,LGB,6,0.4968529261214986,0.5031470738785014
LAX,LGB,7,0.5167261548177208,0.4832738451822792
LAX,LGB,8,0.5193807983149523,0.48061920168504774
LAX,LGB,9,0.5436550627287969,0.456344937271203
LAX,LGB,10,0.5266612379248051,0.4733387620751949
LAX,LGB,11,0.4867890268109729,0.5132109731890271
LAX,LGB,12,0.5531143425788166,0.44688565742118325
LAX,LGB,13,0.5366616391698555,0.4633383608301445
LAX,LGB,14,0.5168529473164458,0.4831470526835543
LAX,LGB,15,0.5382362975718419,0.4617637024281581
LAX,LGB,16,0.5193666105555411,0.4806333894444589
LAX,LGB,17,0.4851845205247525,0.5148154794752474
LAX,LGB,18,0.5736682359294948,0.4263317640705052
LAX,LGB,19,0.532817619304774,0.4671823806952261
LAX,LGB,21,0.43956688950346917,0.5604331104965309
LAX,LGB,22,0.5468791727265597,0.4531208272734402
LAX,LGB,23,0.6610905593009725,0.3389094406990275
