time,origin,destination,count,duration,energy_consumption,tour_length,cluster_id,tour_revenue,revenue,per_flight_revenue,tour_sequence,served,p,q,p2,q2
55.0,0,2,1,10,15.0,1,9,102.16775460979474,102.16775460979474,102.16775460979474,LAX-LGB,1,55.0,55.0,55.0,55.0
55.0,0,5,1,15,20.0,1,36,176.51209411921764,176.51209411921764,176.51209411921764,LAX-ANH,1,80.0,80.0,60.0,65.0
55.0,0,1,1,10,15.0,1,4,62.37620471543725,62.37620471543725,62.37620471543725,LAX-DTLA,1,72.5,75.0,60.0,70.0
55.0,0,7,1,10,15.0,1,6,39.422171091668844,39.422171091668844,39.422171091668844,LAX-PSD,1,60.0,60.0,60.0,60.0
55.0,0,4,1,10,15.0,1,5,82.45340130846085,82.45340130846085,82.45340130846085,LAX-UVS,1,55.0,55.0,55.0,65.0
55.0,0,6,1,10,15.0,1,2,66.68724034195947,66.68724034195947,66.68724034195947,LAX-HWD,1,47.5,47.5,47.5,52.5
60.0,1,1,1,20,30.0,2,14,124.7524094308745,,,DTLA-LAX-DTLA,1,40.0,42.5,42.5,42.5
65.0,5,0,1,15,20.0,1,28,88.25604705960882,88.25604705960882,88.25604705960882,ANH-LAX,1,60.0,62.5,62.5,65.0
65.0,0,8,1,10,15.0,1,37,25.524421817866624,25.524421817866624,25.524421817866624,LAX-BVH,1,85.0,85.0,85.0,85.0
65.0,0,4,1,10,15.0,1,17,41.22670065423043,41.22670065423043,41.22670065423043,LAX-UVS,1,55.0,55.0,55.0,55.0
65.0,0,6,1,10,15.0,1,38,33.34362017097973,33.34362017097973,33.34362017097973,LAX-HWD,1,85.0,85.0,85.0,85.0
65.0,0,3,1,15,20.0,1,21,58.9023603932979,58.9023603932979,58.9023603932979,LAX-WDHL,1,55.0,55.0,35.0,35.0
70.0,2,2,1,25,35.0,2,9,204.33550921958948,,,LGB-LAX-LGB,1,20.0,20.0,20.0,40.0
70.0,0,4,1,10,15.0,1,19,41.22670065423043,41.22670065423043,41.22670065423043,LAX-UVS,1,55.0,55.0,55.0,55.0
70.0,0,7,1,10,15.0,1,39,118.26651327500653,118.26651327500653,118.26651327500653,LAX-PSD,1,85.0,85.0,85.0,85.0
70.0,0,5,1,15,20.0,1,40,176.51209411921764,176.51209411921764,176.51209411921764,LAX-ANH,1,80.0,80.0,60.0,60.0
70.0,6,1,1,20,30.0,2,2,64.53172252869835,,,HWD-LAX-DTLA,1,22.5,37.5,37.5,50.0
75.0,0,6,1,10,15.0,1,24,66.68724034195947,66.68724034195947,66.68724034195947,LAX-HWD,1,57.5,90.0,90.0,90.0
75.0,0,7,1,10,15.0,1,23,78.84434218333769,78.84434218333769,78.84434218333769,LAX-PSD,1,55.0,55.0,40.0,40.0
80.0,0,2,1,10,15.0,1,0,51.08387730489737,51.08387730489737,51.08387730489737,LAX-LGB,1,57.5,57.5,37.5,67.5
80.0,0,3,1,15,20.0,1,3,58.9023603932979,58.9023603932979,58.9023603932979,LAX-WDHL,1,52.5,60.0,60.0,100.0
85.0,0,6,1,10,15.0,1,27,66.68724034195947,66.68724034195947,66.68724034195947,LAX-HWD,1,57.5,65.0,65.0,67.5
85.0,0,5,1,15,20.0,1,28,264.76814117882645,264.76814117882645,264.76814117882645,LAX-ANH,1,45.0,45.0,45.0,45.0
95.0,0,7,1,10,15.0,1,34,39.422171091668844,39.422171091668844,39.422171091668844,LAX-PSD,1,55.0,57.5,42.5,42.5
95.0,0,3,1,15,20.0,1,29,58.9023603932979,58.9023603932979,58.9023603932979,LAX-WDHL,1,70.0,70.0,55.0,62.5
95.0,0,1,1,10,15.0,1,12,62.37620471543725,62.37620471543725,62.37620471543725,LAX-DTLA,1,50.0,50.0,35.0,37.5
100.0,0,5,1,15,20.0,1,4,88.25604705960882,88.25604705960882,88.25604705960882,LAX-ANH,1,50.0,50.0,50.0,55.0
100.0,5,0,1,15,20.0,1,28,88.25604705960882,88.25604705960882,88.25604705960882,ANH-LAX,1,25.0,37.5,37.5,40.0
105.0,0,2,1,10,15.0,1,22,153.2516319146921,153.2516319146921,153.2516319146921,LAX-LGB,1,52.5,52.5,32.5,52.5
120.0,1,1,1,20,30.0,2,2,62.37620471543725,,,DTLA-LAX-DTLA,1,20.0,20.0,20.0,42.5
125.0,0,3,1,15,20.0,1,30,117.8047207865958,117.8047207865958,117.8047207865958,LAX-WDHL,1,75.0,87.5,87.5,100.0
125.0,0,5,1,15,20.0,1,28,264.76814117882645,264.76814117882645,264.76814117882645,LAX-ANH,1,20.0,25.0,25.0,62.5
130.0,0,7,1,10,15.0,1,23,39.422171091668844,39.422171091668844,39.422171091668844,LAX-PSD,1,25.0,35.0,35.0,35.0
135.0,6,1,1,20,30.0,2,16,64.53172252869835,,,HWD-LAX-DTLA,1,57.5,57.5,57.5,80.0
135.0,0,2,1,10,15.0,1,25,51.08387730489737,51.08387730489737,51.08387730489737,LAX-LGB,1,47.5,60.0,60.0,95.0
145.0,0,5,1,15,20.0,1,26,88.25604705960882,88.25604705960882,88.25604705960882,LAX-ANH,1,70.0,97.5,97.5,97.5
150.0,6,1,1,20,30.0,2,24,95.71982488641697,,,HWD-LAX-DTLA,1,60.0,75.0,75.0,77.5
