fleet_size,total_pads,pads_at_vertiport,max_takeoff_per_hour,number_of_aircraft_hours,number_of_flights,number_of_revenue_flights,number_of_repositioning_flights,percentage_repositioning_flights,energy_consumption_kWh,TAM,RAM,total_revenue,average_load_factor
50,111,"{'LAX': 34, 'DTLA': 15, 'LGB': 10, 'WDHL': 9, 'UVS': 8, 'ANH': 13, 'HWD': 7, 'PSD': 9, 'BVH': 6}","{'LAX': 83, 'DTLA': 25, 'LGB': 15, 'WDHL': 16, 'UVS': 11, 'ANH': 19, 'HWD': 16, 'PSD': 15, 'BVH': 9}",525.42,2718,2324,394,0.145,47693.5,42484.92,36322.6,266536.25,0.6036
50,91,"{'LAX': 28, 'DTLA': 11, 'LGB': 8, 'WDHL': 7, 'UVS': 7, 'ANH': 10, 'HWD': 8, 'PSD': 7, 'BVH': 5}","{'LAX': 77, 'DTLA': 24, 'LGB': 16, 'WDHL': 15, 'UVS': 11, 'ANH': 19, 'HWD': 16, 'PSD': 16, 'BVH': 10}",486.92,2543,2200,343,0.1349,43848,39155.05,34000.13,248633.1123,0.6036
